episode,reward,steps,model_type
1,-93.3333333333323,1000,dummy
2,-93.48534201954294,1000,dummy
3,-92.95774647887222,1000,dummy
4,-93.00699300699199,1000,dummy
5,-93.44262295081863,1000,dummy
6,-92.85714285714185,1000,dummy
7,-93.61022364217148,1000,dummy
8,-93.71069182389832,1000,dummy
9,-93.42105263157791,1000,dummy
10,-93.28859060402581,1000,dummy
11,-92.9328621908117,1000,dummy
12,-93.26599326599224,1000,dummy
13,-92.95774647887222,1000,dummy
14,-93.84615384615279,1000,dummy
15,-93.1972789115636,1000,dummy
16,-93.74999999999895,1000,dummy
17,-93.127147766322,1000,dummy
18,-93.05555555555453,1000,dummy
19,-93.22033898304981,1000,dummy
20,-93.84615384615279,1000,dummy
21,-93.42105263157791,1000,dummy
22,-92.80575539568244,1000,dummy
23,-93.35548172757372,1000,dummy
24,-93.78881987577535,1000,dummy
25,-92.85714285714185,1000,dummy
26,-93.0313588850164,1000,dummy
27,-93.35548172757372,1000,dummy
28,-92.83154121863699,1000,dummy
29,-92.72727272727172,1000,dummy
30,-92.83154121863699,1000,dummy
31,-93.00699300699199,1000,dummy
32,-93.0795847750855,1000,dummy
33,-93.42105263157791,1000,dummy
34,-91.30434782608603,1000,dummy
35,-93.35548172757372,1000,dummy
36,-93.67088607594832,1000,dummy
37,-92.7007299270063,1000,dummy
38,-93.63057324840659,1000,dummy
39,-93.63057324840659,1000,dummy
40,-93.22033898304981,1000,dummy
41,-93.127147766322,1000,dummy
42,-93.63057324840659,1000,dummy
43,-92.64705882352841,1000,dummy
44,-92.72727272727172,1000,dummy
45,-93.0313588850164,1000,dummy
46,-93.61022364217148,1000,dummy
47,-92.90780141843871,1000,dummy
48,-92.98245614034987,1000,dummy
49,-94.30199430199322,1000,dummy
50,-93.46405228758066,1000,dummy
51,-93.54838709677315,1000,dummy
52,-92.72727272727172,1000,dummy
53,-93.69085173501472,1000,dummy
54,-92.7007299270063,1000,dummy
55,-93.56913183279639,1000,dummy
56,-93.0313588850164,1000,dummy
57,-92.88256227757907,1000,dummy
58,-92.42424242424144,1000,dummy
59,-92.67399267399168,1000,dummy
60,-92.56505576208079,1000,dummy
61,-93.61022364217148,1000,dummy
62,-92.9328621908117,1000,dummy
63,-92.85714285714185,1000,dummy
64,-93.73040752350991,1000,dummy
65,-93.1972789115636,1000,dummy
66,-93.05555555555453,1000,dummy
67,-92.85714285714185,1000,dummy
68,-93.10344827586104,1000,dummy
69,-92.56505576208079,1000,dummy
70,-92.77978339350081,1000,dummy
71,-94.15204678362466,1000,dummy
72,-93.37748344370758,1000,dummy
73,-93.42105263157791,1000,dummy
74,-92.18749999999903,1000,dummy
75,-93.78881987577535,1000,dummy
76,-92.9328621908117,1000,dummy
77,-93.00699300699199,1000,dummy
78,-93.22033898304981,1000,dummy
79,-91.99999999999903,1000,dummy
80,-92.9328621908117,1000,dummy
81,-91.70124481327706,1000,dummy
82,-92.85714285714185,1000,dummy
83,-93.52750809061384,1000,dummy
84,-92.90780141843871,1000,dummy
85,-92.83154121863699,1000,dummy
86,-93.99399399399293,1000,dummy
87,-92.77978339350081,1000,dummy
88,-93.54838709677315,1000,dummy
89,-93.44262295081863,1000,dummy
90,-93.10344827586104,1000,dummy
91,-92.85714285714185,1000,dummy
92,-91.7355371900817,1000,dummy
93,-93.39933993399237,1000,dummy
94,-92.72727272727172,1000,dummy
95,-93.22033898304981,1000,dummy
96,-92.88256227757907,1000,dummy
97,-93.42105263157791,1000,dummy
98,-93.73040752350991,1000,dummy
99,-93.15068493150582,1000,dummy
100,-93.15068493150582,1000,dummy
